Trial;Time;B1;B2;B3;B4;B5;B6;B7;B8;B9;s1;s2;s3;s4;s5;s6;;Trial;Time_aggre;Time_start;Time_see;Time_lat;Lat_first;
1;10:21;;;;;;;;;;;;;;;;;1;;10:17;4;10:21;;
1;10:27;;;;;;;;;;;;;;;;;2;12:08;11:55;4;11:59;9;
1;10:35;;;;;;;;;;;;;;;;;3;14:56;14:36;12;14:48;8;
1;14:45;;;;;;;;;;;;;;;;;4;17:15;16:34;1;16:35;40;
2;12:01;;;;;;;;;;FS;FS;;;;;;5;10:49;10:16;3;10:19;30;
2;12:08;MG;;;;;;;;;;;;;;;;6;12:14;12:02;3;12:05;9;
2;12:21;MG;;;;;;;;;;;;;;;;7;;14:22;7;14:29;;
2;12:25;;;;;;;;;;;;;;;;;8;15:54;15:38;1;15:39;15;
2;12:33;MG;;;;;;;;;;;;;;;;9;10:22;10:17;1;10:18;4;
2;12:34;MG;;;;;;;;;;;;;;;;10;11:53;11:41;0;11:41;12;
2;12:39;D;;;;;;;;;FS;;;;;;;11;14:39;13:52;8;14:00;39;
2;12:41;;;;;;;;;;;;;;;;;12;15:52;15:35;1;15:36;16;
2;12:42;MG;;;;;;;;;;;;;;;;13;10:49;10:28;19;10:47;2;
2;12:56;D;L;D;C;;;;;;F;;;;;;;14;12:17;12:03;3;12:06;11;
2;13:00;B;;;;;;;;;TS;;;;;;;15;14:39;14:27;2;14:29;10;
3;14:49;;;;;;;;;;;;;;;;;16;15:52;15:49;0;15:49;3;
3;14:56;D;;;;;;;;;;;;;;;;17;10:28;10:19;5;10:24;4;
3;14:57;;;;;;;;;;;;;;;;;18;12:27;12:14;8;12:22;5;
3;15:06;;;;;;;;;;D;;;;;;;19;14:31;14:26;1;14:27;4;
3;15:11;;;;;;;;;;;;;;;;;20;16:06;15:54;5;15:59;7;
3;15:14;D;L;;;;;;;;D;;;;;;;21;10:34;10:29;0;10:29;5;
3;15:21;B;;;;;;;;;;;;;;;;22;11:59;11:55;0;11:55;4;
3;15:42;;;;;;;;;;D;;;;;;;23;14:08;13:58;8;14:06;2;
4;16:36;;;;;;;;;;TS;;;;;;;24;16:12;16:03;2;16:05;7;
4;16:45;;;;;;;;;;;;;;;;;25;10:30;10:26;0;10:26;4;
4;17:15;B;;;;;;;;;TS;;;;;;;26;12:43;12:09;16;12:25;18;
4;17:36;;;;;;;;;;;;;;;;;27;14:03;13:56;6;14:02;1;
5;10:21;;;;;;;;;;;;;;;;;28;15:40;15:35;4;15:39;1;
5;10:26;;;;;;;;;;;;;;;;;29;10:13;10:06;3;10:09;4;
5;10:28;;;;;;;;;;;;;;;;;30;11:56;11:46;8;11:54;2;
5;10:38;;;;;;;;;;;;;;;;;31;14:09;13:58;9;14:07;2;
5;10:49;B;D;;;;;;;;;;;;;;;32;15:39;15:34;4;15:38;1;
5;10:50;;;;;;;;;;D;MG;;;;;;33;10:38;10:29;7;10:36;2;
5;10:56;;;;;;;;;;MG;L;;;;;;34;11:58;11:48;0;11:48;10;
5;11:16;;;;;;;;;;;;;;;;;35;13:51;13:40;4;13:44;7;
6;12:07;;;;;;;;;;;;;;;;;36;;14:52;0;14:52;;
6;12:14;D;L;B;D;;;;;;D;L;D;;;;;37;10:09;9:59;7;10:06;3;
6;12:23;;;;;;;;;;;;;;;;;38;11:18;11:13;1;11:14;4;
6;12:25;;;;;;;;;;D;MG;;;;;;39;13:14;12:56;0;12:56;18;
6;12:26;B;;;;;;;;;;;;;;;;40;14:16;14:11;4;14:15;1;
6;12:32;;;;;;;;;;;;;;;;;41;;10:42;2;10:44;;
6;12:39;;;;;;;;;;;;;;;;;42;12:10;11:50;0;11:50;20;
6;12:43;;;;;;;;;;;;;;;;;43;14:04;13:58;4;14:02;2;
7;14:32;;;;;;;;;;FS;;;;;;;44;15:39;15:36;2;15:38;1;
7;14:37;;;;;;;;;;FS;;;;;;;45;10:11;10:02;9;10:11;0;
7;14:48;;;;;;;;;;FS;;;;;;;46;11:33;11:25;7;11:32;1;
7;14:49;;;;;;;;;;;;;;;;;47;13:54;13:43;7;13:50;4;
7;14:51;;;;;;;;;;FS;FS;;;;;;48;15:50;14:49;20;15:09;41;
7;15:00;;;;;;;;;;;;;;;;;49;;10:33;5;10:38;;
8;15:41;;;;;;;;;;;;;;;;;50;12:01;11:44;2;11:46;15;
8;15:41;;;;;;;;;;;;;;;;;51;14:02;13:53;7;14:00;2;
8;15:45;;;;;;;;;;;;;;;;;52;;15:15;0;15:15;;
8;15:46;;;;;;;;;;;;;;;;;53;10:07;9:59;6;10:05;2;
8;15:47;;;;;;;;;;;;;;;;;54;11:44;11:38;5;11:43;1;
8;15:49;;;;;;;;;;;;;;;;;55;13:42;13:26;0;13:26;16;
8;15:51;;;;;;;;;;;;;;;;;56;15:04;14:59;0;14:59;5;
8;15:54;D;;;;;;;;;;;;;;;;57;10:31;10:29;1;10:30;1;
8;15:56;;;;;;;;;;;;;;;;;58;11:47;11:42;4;11:46;1;
8;15:58;;;;;;;;;;;;;;;;;59;13:31;13:22;1;13:23;8;
8;16:01;;;;;;;;;;;;;;;;;60;;;;;;
8;16:08;;;;;;;;;;;;;;;;;61;10:28;10:03;7;10:10;18;
8;16:09;B;;;;;;;;;;;;;;;;62;11:17;11:11;4;11:15;2;
8;16:11;;;;;;;;;;;;;;;;;63;12:58;12:54;3;12:57;1;
8;16:13;D;D;;;;;;;;D;MG;;;;;;64;;14:46;0;14:46;;
8;16:23;;;;;;;;;;;;;;;;;65;10:51;10:48;1;10:49;2;
8;16:24;B;;;;;;;;;TS;;;;;;;66;12:39;12:28;3;12:31;8;
9;10:22;D;D;;;;;;;;;;;;;;;67;;14:33;4;14:37;;
9;10:23;D;D;;;;;;;;;;;;;;;68;16:30;16:09;5;16:14;16;
9;10:24;D;B;;;;;;;;;;;;;;;69;10:16;10:04;2;10:06;10;
9;10:25;D;;;;;;;;;;;;;;;;70;12:29;12:06;1;12:07;22;
9;10:27;D;B;;;;;;;;;;;;;;;71;;10:47;1;10:48;;
9;10:33;D;L;;;;;;;;FS;;;;;;;72;;11:58;6;12:04;;
9;10:39;;;;;;;;;;TS;;;;;;;73;;13:40;1;13:41;;
9;10:47;;;;;;;;;;TS;;;;;;;74;;14:45;0;14:45;;
9;10:54;;;;;;;;;;TS;;;;;;;75;;10:00;2;10:02;;
10;11:45;;;;;;;;;;;;;;;;;76;;11:05;0;11:05;;
10;11:47;;;;;;;;;;;;;;;;;77;;12:41;2;12:43;;
10;11:50;;;;;;;;;;;;;;;;;78;;13:49;0;13:49;;
10;11:53;L;;;;;;;;;;;;;;;;79;10:41;10:35;2;10:37;4;
10;11:54;;;;;;;;;;;;;;;;;80;;11:54;5;11:59;;
10;11:58;;;;;;;;;;;;;;;;;81;14:05;13:46;3;13:49;16;
10;12:08;;;;;;;;;;;;;;;;;82;14:55;14:48;2;14:50;5;
10;12:13;;;;;;;;;;;;;;;;;83;;9:58;0;9:58;;
11;14:02;;;;;;;;;;;;;;;;;84;;11:14;7;11:21;;
11;14:06;;;;;;;;;;;;;;;;;85;13:23;13:23;0;13:23;0;
11;14:09;;;;;;;;;;;;;;;;;86;14:35;14:28;4;14:32;3;
11;14:19;;;;;;;;;;;;;;;;;87;;10:46;;10:46;;
11;14:25;;;;;;;;;;;;;;;;;88;;12:19;5;12:24;;
11;14:37;;;;;;;;;;;;;;;;;89;13:58;13:57;0;13:57;1;
11;14:38;;;;;;;;;;;;;;;;;90;;14:58;8;15:06;;
11;14:39;D;;;;;;;;;FS;;;;;;;91;;10:03;0;10:03;;
11;14:41;;;;;;;;;;;;;;;;;92;;11:06;2;11:08;;
11;14:45;;;;;;;;;;;;;;;;;93;;12:41;2;12:43;;
11;14:46;;;;;;;;;;;;;;;;;94;14:07;13:46;9;13:55;12;
12;15:38;;;;;;;;;;;;;;;;;;;;;;;
12;15:39;;;;;;;;;;;;;;;;;;;;;;;
12;15:41;;;;;;;;;;;;;;;;;;;;;;;
12;15:46;;;;;;;;;;;;;;;;;;;;;;;
12;15:48;;;;;;;;;;;;;;;;;;;;;;;
12;15:49;;;;;;;;;;;;;;;;;;;;;;;
12;15:50;;;;;;;;;;;;;;;;;;;;;;;
12;15:52;B;;;;;;;;;;;;;;;;;;;;;;
12;15:58;;;;;;;;;;;;;;;;;;;;;;;
