ID;Sex;Morph;Type;SVL;HL;HW;Body mass;BCI;Location;Date
A14;F;WO;F;60;12.95;7.98;5.21;0.011349482;Llívia;28/04/2025
D1;F;W;F;68;13.51;9.51;7.65;-0.037664869;Llívia;28/04/2025
D19;F;O;F;58;12.18;8.09;5.18;-0.018052269;Martinet;29/04/2025
D28;F;Y;F;61;13.3;8.9;5.77;-0.017430462;Llívia;28/04/2025
D29;F;O;F;65;12.94;8.56;4.95;0.108921919;Llívia;28/04/2025
D31;F;W;F;61;12.66;8.53;5.47;0.005758025;Martinet;29/04/2025
D50;F;WO;F;64;13.03;8.97;5.73;0.030779236;Santa Maria;29/04/2025
K33;F;W;F;65;13.39;8.63;7.04;-0.044045541;Martinet;29/04/2025
L1;F;W;F;63;13.18;8.31;5.07;0.069102813;Llívia;28/04/2025
L22;F;YO;F;66;13.64;8.8;7.72;-0.069719729;Llívia;28/04/2025
M42;F;W;F;65;13.41;8.67;6.6;-0.016016818;Llívia;28/04/2025
M74;F;WO;F;71;14.03;9.49;7.3;0.023309359;Llívia;28/04/2025
B12;M;WO;Big;71;17.03;12.06;9.19;-0.028800703;Llívia;28/04/2025
B26;M;O;Big;69;16.75;10.61;7.18;0.050434787;Martinet;29/04/2025
D10;M;O;Big;68;17.1;11.05;7.52;0.016058238;Llívia;28/04/2025
D25;M;W;Big;68;16.79;11.7;8.3;-0.026802014;Llívia;28/04/2025
D52;M;O;Big;68;16.08;10.68;7.24;0.032537512;Santa Maria;29/04/2025
D8;M;O;Big;71;17.18;11.54;8.19;0.021230906;Llívia;28/04/2025
E58;M;O;Big;69;17.04;11.56;8.28;-0.011471105;Llívia;28/04/2025
G35;M;Y;Big;73;17.36;11.12;7.79;0.070156282;Llívia;28/04/2025
L33;M;O;Big;70;17.29;10.55;7.53;0.043841888;Martinet;29/04/2025
M11;M;O;Big;69;16.88;11.85;9.12;-0.053435607;Llívia;28/04/2025
M58;M;W;Big;73;17.89;11.87;9.65;-0.022833574;Martinet;29/04/2025
M59;M;Y;Big;68;16.73;11.19;8.58;-0.041211209;Llívia;28/04/2025
A49;M;O;Small;61;15.33;10.19;6.28;-0.011968591;Santa Maria;29/04/2025
A58;M;O;Small;65;15.96;10.41;6.06;0.065658586;Llívia;28/04/2025
B5;M;Y;Small;61;15.32;10.5;6.3;-0.013349497;Martinet;29/04/2025
B87;M;W;Small;63;16.74;11.15;7.89;-0.079522613;Llívia;28/04/2025
B90;M;O;Small;65;16.56;10.69;7.27;-0.013403201;Llívia;28/04/2025
B93;M;W;Small;64;16.58;10.35;7.53;-0.043832731;Llívia;28/04/2025
D12;M;O;Small;63;15.31;10.36;6.82;-0.016229985;Llívia;28/04/2025
D13;M;O;Small;60;15.1;10.64;5.96;-0.005427123;Llívia;28/04/2025
D14;M;Y;Small;62;16.45;10.02;6.43;-0.006310975;Llívia;28/04/2025
D18;M;O;Small;65;16.26;10.34;7.26;-0.012805411;Llívia;28/04/2025
D21;M;Y;Small;60;15.64;10.21;6.06;-0.012653487;Llívia;28/04/2025
D22;M;WO;Small;61;16.39;11.34;7.3;-0.077331808;Llívia;28/04/2025
D24;M;Y;Small;61;15.55;10.3;5.29;0.06253538;Santa Maria;29/04/2025
D3;M;O;Small;60;15.44;10.19;5.4;0.037425377;Llívia;28/04/2025
D30;M;O;Small;64;15.88;10.37;5.97;0.056987914;Santa Maria;29/04/2025
D32;M;WO;Small;58;14.11;9.19;4.64;0.070132603;Santa Maria;29/04/2025
D33;M;Y;Small;60;15.4;9.81;5.69;0.01470687;Llívia;28/04/2025
D34;M;W;Small;57;13.61;9.04;4.7;0.047537017;Santa Maria;29/04/2025
D35;M;W;Small;64;15.75;10.74;6.94;-0.008397225;Santa Maria;29/04/2025
D36;M;W;Small;64;15.22;10.19;6.08;0.049058666;Santa Maria;29/04/2025
D4;M;O;Small;60;14.48;10.13;6.01;-0.009055335;Santa Maria;29/04/2025
D53;M;YO;Small;63;15.6;9.9;5.54;0.074044625;Llívia;28/04/2025
D6;M;W;Small;63;16.36;10.17;6.31;0.017525031;Santa Maria;29/04/2025
D7;M;O;Small;63;15.47;10.17;7.34;-0.04814167;Llívia;28/04/2025
D9;M;W;Small;62;16.01;10.43;6.36;-0.001557118;Llívia;28/04/2025
E28;M;YO;Small;65;16.09;10.41;6.97;0.004898432;Llívia;28/04/2025
E73;M;Y;Small;61;15.29;9.93;6.24;-0.009193537;Llívia;28/04/2025
F23;M;O;Small;65;16.34;11.06;7.66;-0.03609756;Llívia;28/04/2025
F4;M;Y;Small;65;16.26;10.55;7.38;-0.019925152;Llívia;28/04/2025
G11;M;O;Small;63;16.73;10.92;8.12;-0.092001639;Llívia;28/04/2025
H14;M;W;Small;65;16.19;10.56;7.71;-0.038923168;Llívia;28/04/2025
L21;M;Y;Small;63;15.68;10.88;6.59;-0.001331025;Martinet;29/04/2025
L26;M;W;Small;63;16.86;11.01;7.43;-0.053434424;Llívia;28/04/2025
L46;M;WO;Small;64;16.08;11.31;6.85;-0.002728326;Llívia;28/04/2025
M33;M;O;Small;62;15.14;9.64;5.82;0.036977013;Santa Maria;29/04/2025
M83;M;W;Small;65;17.1;11.27;7.52;-0.028086631;Llívia;28/04/2025
