wl;UV_control;Dor_paint;UV_paint;Dor_control
300,22;7,441;3,28;3,351;3,527
300,58;7,621;3,265;3,405;3,538
300,95;7,808;3,309;3,374;3,575
301,31;8,083;3,446;3,401;3,692
301,68;8,326;3,354;3,354;3,715
302,04;8,545;3,394;3,264;3,743
302,41;8,968;3,619;3,454;3,873
302,77;9,321;3,709;3,581;4,051
303,14;9,549;3,596;3,553;3,989
303,51;9,678;3,535;3,401;3,911
303,87;9,825;3,492;3,343;3,889
304,24;10,054;3,609;3,469;4,014
304,6;10,194;3,603;3,526;4,007
304,97;10,363;3,522;3,459;3,78
305,33;10,619;3,677;3,383;3,825
305,7;10,715;3,747;3,206;3,72
306,06;10,889;3,698;3,102;3,62
306,43;10,897;3,668;3,035;3,618
306,79;11,02;3,645;3,026;3,646
307,16;11,246;3,735;3,172;3,799
307,52;11,408;3,81;3,303;3,92
307,89;11,563;3,9;3,241;3,927
308,25;11,82;3,931;3,157;4,021
308,62;11,928;3,811;3,157;4,082
308,98;12,183;3,908;3,308;4,257
309,35;12,42;3,996;3,374;4,214
309,71;12,576;3,96;3,381;4,252
310,08;12,662;3,904;3,253;4,191
310,44;12,887;3,813;3,197;4,149
310,81;13,023;3,866;3,287;4,179
311,17;13,292;3,955;3,414;4,243
311,54;13,516;3,962;3,357;4,158
311,9;13,734;3,946;3,328;4,086
312,27;14,068;3,997;3,369;4,145
312,63;14,374;4,171;3,486;4,366
313;14,711;4,102;3,585;4,378
313,36;15,023;4,055;3,743;4,473
313,72;15,288;4,046;3,905;4,558
314,09;15,779;4,089;4,023;4,604
314,45;16,28;4,073;4,086;4,725
314,82;16,67;4,033;4,082;4,643
315,18;17,136;3,951;4,047;4,636
315,55;17,646;4,011;4,098;4,654
315,91;18,072;4,082;4,223;4,693
316,28;18,681;4,274;4,384;4,71
316,64;18,892;4,143;4,411;4,605
317;19,191;4,131;4,503;4,784
317,37;19,65;4,145;4,533;4,894
317,73;20,139;4,114;4,645;4,886
318,1;20,595;4,055;4,736;4,845
318,46;21,053;3,836;4,631;4,819
318,83;21,495;3,821;4,576;4,788
319,19;22,046;3,821;4,614;4,821
319,55;22,698;3,82;4,674;4,793
319,92;23,186;3,718;4,73;4,683
320,28;23,639;3,597;4,804;4,539
320,65;24,093;3,568;4,791;4,462
321,01;24,657;3,42;4,727;4,471
321,38;25,412;3,335;4,604;4,461
321,74;26,032;3,292;4,543;4,402
322,1;26,815;3,29;4,62;4,322
322,47;27,512;3,226;4,665;4,465
322,83;28,211;3,289;4,689;4,428
323,19;29,025;3,153;4,643;4,407
323,56;29,906;3,071;4,761;4,299
323,92;30,602;2,922;4,714;4,186
324,29;31,394;2,78;4,559;4,022
324,65;32,324;2,733;4,483;3,922
325,01;33,182;2,637;4,512;3,746
325,38;34,066;2,615;4,558;3,876
325,74;34,869;2,82;4,676;3,871
326,11;35,832;2,986;4,678;3,837
326,47;36,9;2,961;4,687;3,867
326,83;37,993;2,981;4,825;3,906
327,2;39,234;2,872;4,844;3,893
327,56;40,592;2,927;4,891;3,918
327,92;41,961;2,901;4,923;3,903
328,29;43,139;2,88;4,917;3,963
328,65;44,462;3,039;4,901;3,927
329,01;45,825;3,261;5,069;3,978
329,38;47,174;3,274;5,103;4,067
329,74;48,219;3,159;5,002;3,939
330,1;49,483;3,298;4,988;3,829
330,47;50,723;3,233;5,011;3,852
330,83;51,859;3,294;5,151;3,811
331,19;52,974;3,465;5,148;3,884
331,56;54,18;3,551;5,115;3,879
331,92;55,448;3,858;5,347;4,167
332,28;56,4;3,958;5,52;4,21
