Number;ID;Trial;Group;Rival_ID;Rival_trial;Date;Time;Duration_1;Duration_2;Time_see;Time first rock;Duration_both;Duration_rock;Encounters;B_Display;B_Bite;B_Lunge;B_MouthG;B_Chase;B_Flight;B_Foot;B_Tail;B_aggre;B_submi;B_aggre_enc;B_submi_enc;s_Display;s_Bite;s_Lunge;s_MouthG;s_Chase;s_Flight;s_Foot;s_Tail;s_aggre;s_submi;s_aggre_enc;s_submi_enc;Size_dif;Acclimation;T_moving;T_resting;T_female;IB;T1;H1;T2;H2;Population_B;Lat_first;Frequency
1;D10;1;Control;D9;1;07/05/2025;10:17;36;32;4;1;24;24;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;M;0;2.39;2.21;0;24;58.5;24;58.2;Llívia;;0
2;D10;2;Control;D22;1;07/05/2025;11:55;65;61;4;1;39;40;11;3;1;1;5;1;0;0;0;11;0;1;0;0;0;0;0;0;1;3;1;0;5;0;0.454545455;7;M;0;4.05;0.55;0;24;58.1;24;57.3;Llívia;9;0.180327869
3;D10;3;Treatment;B5;1;07/05/2025;14:36;72;60;12;2;40;40;8;2;1;1;0;0;0;0;0;4;0;0.5;0;3;0;0;0;0;0;0;0;3;0;0.375;0;7;M;0;3.35;1.25;0;24;56.1;24;56.5;Llívia;8;0.066666667
4;D10;4;Treatment;A49;1;07/05/2025;16:34;61;60;1;1;52;52;4;0;1;0;0;0;0;0;0;1;0;0.25;0;0;0;0;0;0;0;0;2;0;2;0;0.5;7;M;0;0.52;4.08;0;23.9;56.7;24;56.1;Llívia;40;0.016666667
5;D10;5;Treatment;D32;1;08/05/2025;10:16;63;60;3;1;39;39;9;1;1;0;0;0;0;0;0;2;0;0.222222222;0;1;0;1;2;0;0;0;0;4;0;0.444444444;0;10;M;0;2.43;2.17;0;24.1;60;24.1;58.9;Llívia;30;0.033333333
6;D10;6;Control;D4;1;08/05/2025;12:02;40;37;3;0;23;28;8;2;2;1;0;0;0;0;0;5;0;0.625;0;3;0;1;1;0;0;0;0;5;0;0.625;0;8;M;0;5.00;0;0;23.9;57.7;24;57.3;Llívia;9;0.135135135
7;D10;7;Treatment;D24;1;08/05/2025;14:22;37;30;7;4;10;15;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;0;0.833333333;7;M;0.37;4.23;0;0;24;58.9;24;58.5;Llívia;;0
8;D10;8;Control;M33;1;08/05/2025;15:38;61;60;1;1;21;34;17;3;2;0;0;0;0;0;0;5;0;0.294117647;0;1;0;0;1;0;0;1;0;2;1;0.117647059;0.058823529;6;M;2.59;1.44;0.17;2;24;58.1;24;56.9;Llívia;15;0.083333333
9;G35;1;Control;F4;1;12/05/2025;10:17;37;36;1;3;7;7;9;7;2;1;0;0;0;0;0;10;0;1.111111111;0;0;0;0;0;0;0;1;3;0;4;0;0.444444444;8;W;0.34;4.26;0;0;24.1;54.8;24;54.8;Martinet;4;0.277777778
10;G35;2;Treatment;D30;1;12/05/2025;11:41;30;30;0;0;1;1;8;0;0;1;0;0;0;0;0;1;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;9;W;0.44;4.16;0;0;23.9;55.2;23.9;53.6;Martinet;12;0.033333333
